pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_insol,st_teff,pl_eqt,pl_tranmid,st_rad,st_mass
TRAPPIST-1 b,1.51084800000,0.0111100000,1.11300000,4.2500,2550.00,400.00,2457322.51765000,0.117000,0.080000
TRAPPIST-1 c,2.42184800000,0.0152200000,1.04900000,2.2600,2550.00,342.00,2457362.72618000,0.117000,0.080000
TRAPPIST-1 b,1.51087081000,0.0111100000,1.08600000,4.2500,2559.00,400.10,2457322.51736000,0.117000,0.080200
TRAPPIST-1 c,2.42182330000,0.0152100000,1.05600000,2.2700,2559.00,341.90,2457282.80728000,0.117000,0.080200
TRAPPIST-1 d,4.04961000000,0.0214400000,0.77200000,1.1430,2559.00,288.00,2457670.14165000,0.117000,0.080200
TRAPPIST-1 e,6.09961500000,0.0281700000,0.91800000,0.6620,2559.00,251.30,2457660.37859000,0.117000,0.080200
TRAPPIST-1 f,9.20669000000,0.0371000000,1.04500000,0.3820,2559.00,219.00,2457671.39767000,0.117000,0.080200
TRAPPIST-1 g,12.35294000000,0.0451000000,1.12700000,0.2580,2559.00,198.60,2457665.34937000,0.117000,0.080200
TRAPPIST-1 h,20.00000000000,0.0630000000,0.75500000,0.1310,2559.00,168.00,2457662.55463000,0.117000,0.080200
Kepler-1649 b,8.68907042000,0.0378000000,0.57000000,0.4700,2703.00,211.00,2454966.23864000,0.118000,0.096000
Kepler-1649 b,8.68910764000,0.0378000000,0.49000000,0.4700,2703.00,211.00,2454966.23559000,0.118000,0.096000
Kepler-1649 b,8.68907042000,0.0378000000,0.57000000,0.4700,2703.00,211.00,2454966.23864000,0.118000,0.096000
Kepler-1649 b,8.68907042000,0.0378000000,0.57000000,0.4700,2703.00,211.00,2454966.23864000,0.118000,0.096000
Kepler-1649 c,19.53525510000,0.0649000000,0.53000000,0.1600,2703.00,161.00,2454981.20374000,0.118000,0.096000
TOI-2267 d,2.03446710000,0.0124000000,1.13000000,7.6000,2930.00,412.00,2458817.08130000,0.130000,0.098900
SPECULOOS-3 b,0.71912603000,0.0073300000,0.97700000,15.5400,2800.00,553.00,2459790.58344000,0.123000,0.100900
LP 890-9 b,2.72990250000,0.0187500000,1.32000000,4.0900,2850.00,396.00,2459447.82637000,0.155600,0.118000
LP 890-9 c,8.45746300000,0.0398400000,1.36700000,0.9060,2850.00,272.00,2459520.70598000,0.155600,0.118000
